상품명,채널구분,통합판매수량,국내판매수량,해외판매수량,통합매출_KRW,국내매출_KRW,해외매출_KRW환산,평균단가_KRW,총주문건수,국내주문건수,해외주문건수,최초판매일,시즌
Pocket Pleats Shorts Skirt Navy,공통,62.0,55.0,7.0,2842989.8041666667,2202095.0,640894.8041666666,45854.67426075269,62.0,55.0,7.0,2025-04-23,25 SS 01
Flare Bambi Shearling Mini Coat Ivory,공통,61.0,47.0,14.0,10024882.25,7404000.0,2620882.25,164342.3319672131,61.0,47.0,14.0,2025-12-13,25 FW 02
Earflap Beanie Light Blue,공통,61.0,52.0,9.0,2089333.0416666665,1374680.0,714653.0416666666,34251.36133879781,60.0,51.0,9.0,2025-01-01,24 홀리데이컬렉션
Earflap Beanie Ivory,공통,60.0,50.0,10.0,1889992.725,1213915.0,676077.725,31499.87875,59.0,49.0,10.0,2025-01-06,24 홀리데이컬렉션
Rosie Woolly Off Shouler Rose Gray,공통,60.0,35.0,25.0,5407361.041666666,2261000.0,3146361.0416666665,90122.68402777777,60.0,35.0,25.0,2026-02-07,26 VT
Hand Warmer Stripe L/S Charcoal,공통,59.0,42.0,17.0,4501522.841666667,2606100.0,1895422.8416666663,76296.99731638418,59.0,42.0,17.0,2025-09-10,25 FW 01
Dot Denim Hoodie Jacket Light Blue,공통,59.0,48.0,11.0,7891730.966666667,6651110.0,1240620.9666666666,133758.15197740114,59.0,48.0,11.0,2025-04-11,25 SS 01
Balloon Mini Skirt Cream,공통,59.0,56.0,3.0,2804332.1458333335,2620915.0,183417.1458333333,47531.053319209044,53.0,50.0,3.0,2025-01-19,24 08 FW
Cottage Bambi Fur Trooper Hat Brown,공통,59.0,43.0,16.0,4866772.916666667,2600000.0,2266772.916666667,82487.67655367233,59.0,43.0,16.0,2025-12-16,25 FW 02
Check Hoodie Jacket Navy,공통,58.0,46.0,12.0,8653896.0625,7183500.0,1470396.0625000002,149205.10452586206,58.0,46.0,12.0,2025-04-15,25 SS 01
Check Angel Dress Beige,공통,57.0,41.0,16.0,3848784.458333333,2687645.0,1161139.4583333333,67522.53435672514,57.0,41.0,16.0,2025-07-05,25 SS 03
Dot Buttons Knit Double Jacket Gray,공통,57.0,54.0,3.0,4460607.166666667,4082655.0,377952.1666666666,78256.26608187135,57.0,54.0,3.0,2025-04-09,25 SS 01
Baby Sheeps Ear Fleece Zip-up Crop Hoodie Ivory,공통,57.0,42.0,15.0,6393275.916666666,4280000.0,2113275.9166666665,112162.73538011695,57.0,42.0,15.0,2025-12-16,25 FW 02
Charm Holder Backpack Khaki,공통,58.0,28.0,30.0,9764865.25,3350000.0,6414865.25,168359.74568965516,57.0,27.0,30.0,2026-01-23,25 FW 02
Logo Tee Navy,공통,57.0,50.0,7.0,2263714.5,1765625.0,498089.5,39714.28947368421,57.0,50.0,7.0,2025-02-14,캐리오버
Sheer Dot Leg Warmer Beige,공통,56.0,45.0,11.0,1507195.375,764625.0,742570.3749999999,26914.203125,53.0,42.0,11.0,2025-05-17,25 SS 02
Bite Apple Key Chain,공통,57.0,30.0,27.0,2799682.0065656565,696020.0,2103662.0065656565,49117.22818536239,55.0,30.0,25.0,2025-07-04,25 SS 03
Baby Sheeps Fleece Jacket Ivory,공통,54.0,42.0,12.0,6275448.583333333,4611750.0,1663698.5833333333,116212.01080246913,54.0,42.0,12.0,2025-12-16,25 FW 02
Stripe Lace Tie Shirt Pink,공통,53.0,35.0,18.0,4533349.020833333,2491920.0,2041429.0208333333,85534.88718553458,53.0,35.0,18.0,2025-04-10,25 SS 01
Puffed Rain Jacket White,공통,52.0,39.0,13.0,5037504.8352272725,3737580.0,1299924.8352272727,96875.09298513985,50.0,37.0,13.0,2025-07-02,25 SS 03
Check Angel Dress Mint,공통,52.0,47.0,5.0,3552550.8333333335,3139180.0,413370.8333333333,68318.28525641026,52.0,47.0,5.0,2025-07-03,25 SS 03
Shade Tied Dress Jade,공통,52.0,35.0,17.0,6600947.236111111,4165000.0,2435947.236111111,126941.29300213675,51.0,34.0,17.0,2025-09-10,25 FW 01
Stripe Hoodie Cardigan Blue,공통,51.0,49.0,2.0,3929044.0,3785784.0,143260.0,77040.07843137255,51.0,49.0,2.0,2025-01-02,24 홀리데이컬렉션
Leather Cowboy Boots Brown,공통,51.0,49.0,2.0,4879713.75,4637310.0,242403.75000000003,95680.66176470589,51.0,49.0,2.0,2025-01-07,24 08 FW
My Little Star Shorts Navy,공통,51.0,38.0,13.0,3219899.8833333333,2128380.0,1091519.8833333333,63135.29183006536,51.0,38.0,13.0,2025-07-02,25 SS 03
P Pleats Mid Skirt Charcoal,공통,50.0,46.0,4.0,2574227.3666666667,2286065.0,288162.36666666664,51484.547333333336,50.0,46.0,4.0,2025-04-16,25 SS 01
Vine Knit Light Khaki,공통,49.0,32.0,17.0,4974454.715277777,2532000.0,2442454.715277777,101519.48398526075,49.0,32.0,17.0,2025-09-12,25 FW 01
Logo Crop Zipup Jersey Navy,공통,48.0,45.0,3.0,3116793.782051282,2849200.0,267593.78205128206,64933.20379273504,48.0,45.0,3.0,2025-02-13,캐리오버
Ribbon Logo Sleeveless Navy,공통,48.0,41.0,7.0,1685900.7583333333,1196932.0,488968.7583333333,35122.93246527778,46.0,39.0,7.0,2025-01-22,캐리오버
Stary Night Frill Sleeveless Navy,공통,48.0,24.0,24.0,2644425.1694444446,781400.0,1863025.1694444448,55092.191030092596,48.0,24.0,24.0,2025-07-03,25 SS 03
Pocket Pleats Shorts Skirt Charocal,공통,48.0,38.0,10.0,2242740.1666666665,1371440.0,871300.1666666666,46723.75347222222,48.0,38.0,10.0,2025-05-11,25 SS 01
Buttons Sprinkle Hoodie Shirt White,공통,47.0,32.0,15.0,4706569.162878788,3051795.0,1654774.1628787878,100139.76942295294,46.0,32.0,14.0,2025-07-05,25 SS 03
Check Puffed Rain Jacket Blue,공통,46.0,32.0,14.0,3774647.3,2363052.0,1411595.3,82057.55,46.0,32.0,14.0,2025-07-02,25 SS 03
Side Tie Dress Navy,공통,45.0,41.0,4.0,3167349.375,2874830.0,292519.375,70385.54166666667,45.0,41.0,4.0,2025-01-09,24 08 FW
Milky Way Hand Warmer White,공통,45.0,35.0,10.0,1133597.625,575170.0,558427.625,25191.058333333334,44.0,34.0,10.0,2025-07-03,25 SS 03
My Little Star L/S Mint,공통,45.0,41.0,4.0,1922164.2625,1607540.0,314624.2625,42714.76138888889,45.0,41.0,4.0,2025-04-10,25 SS 01
Baby Sheeps Button Fleece Hoodie Jacket Ivory,공통,44.0,33.0,11.0,7026491.75,5100000.0,1926491.75,159692.99431818182,44.0,33.0,11.0,2025-12-15,25 FW 02
Stary Night Frill Sleeveless Skyblue,공통,44.0,19.0,25.0,2425659.8439393933,557300.0,1868359.8439393933,55128.63281680439,44.0,19.0,25.0,2025-07-06,25 SS 03
Biker Jacket Ivory,공통,44.0,43.0,1.0,4091875.3,3986150.0,105725.3,92997.16590909091,44.0,43.0,1.0,2025-01-15,24 08 FW
My Little Star L/S Purple,공통,44.0,37.0,7.0,1719597.5833333333,1209200.0,510397.5833333333,39081.76325757575,44.0,37.0,7.0,2025-04-10,25 SS 01
Side Tie Dress Oatmeal,공통,44.0,36.0,8.0,3045437.1875,2486000.0,559437.1875,69214.48153409091,44.0,36.0,8.0,2025-01-06,24 08 FW
Buttons Check Hoodie Shirt Blue,공통,43.0,39.0,4.0,3789706.1647727275,3471750.0,317956.1647727273,88132.7015063425,43.0,39.0,4.0,2025-07-02,25 SS 03
Sheer Dot Buttons Baby Tee Beige,공통,43.0,40.0,3.0,1723974.1666666667,1552270.0,171704.16666666666,40092.42248062016,43.0,40.0,3.0,2025-05-18,25 SS 02
My Little Star L/S Navy,공통,43.0,33.0,10.0,2012932.780952381,1331588.0,681344.7809523809,46812.39025470654,43.0,33.0,10.0,2025-04-11,25 SS 01
Lace Inner Shorts Gray,공통,43.0,38.0,5.0,1123884.875,799915.0,323969.875,26136.857558139534,43.0,38.0,5.0,2025-07-02,25 SS 03
Earflap Beanie Brown,공통,42.0,35.0,7.0,1513921.7083333335,890000.0,623921.7083333334,36045.75496031746,40.0,33.0,7.0,2025-01-12,24 홀리데이컬렉션
Milky Way Leg Warmer White,공통,42.0,30.0,12.0,1302198.0265151514,567060.0,735138.0265151515,31004.714917027413,41.0,29.0,12.0,2025-07-04,25 SS 03
Cozy Pom Pom Dot Shearling Dumble Jumper Brown,국내전용,42.0,42.0,0.0,8308500.0,8308500.0,0.0,197821.42857142858,42.0,42.0,0.0,2025-12-15,25 FW 02
Reversible Check Shearling Jacket Blue,공통,42.0,39.0,3.0,5058441.75,4653000.0,405441.75,120439.08928571429,42.0,39.0,3.0,2025-12-18,25 FW 02
Charm Holder Backpack Sage Green,공통,41.0,26.0,15.0,6216407.154761905,3052000.0,3164407.154761905,151619.68670150987,41.0,26.0,15.0,2026-01-23,25 FW 02
Velour Ear Zipup Crop Hoodie Navy,공통,40.0,34.0,6.0,3030114.2987179486,2528665.0,501449.2987179487,75752.85746794872,40.0,34.0,6.0,2025-01-10,24 홀리데이컬렉션
Hand Warmer Stripe L/S Light Khaki,공통,40.0,28.0,12.0,2952624.458333333,1737400.0,1215224.4583333333,73815.61145833333,38.0,28.0,10.0,2025-09-10,25 FW 01
Blooming Tie Shirt Pink,공통,39.0,28.0,11.0,2950817.125,1937800.0,1013017.125,75661.97756410256,39.0,28.0,11.0,2025-04-17,25 SS 01
Leather Cowboy Boots Black,공통,38.0,32.0,6.0,3797817.5,3148000.0,649817.5,99942.56578947368,37.0,31.0,6.0,2025-01-12,24 08 FW
Mini Chocolate Blush Mori Dimsum Bag,공통,47.0,12.0,35.0,7091076.5,1497600.0,5593476.5,150873.96808510637,47.0,12.0,35.0,2026-04-11,26 SS 01
BadBear Graphic Tee White,공통,37.0,36.0,1.0,1197231.5,1126399.0,70832.5,32357.608108108107,33.0,32.0,1.0,2025-02-04,배드베어
Hand Warmer Cottage Floral L/S Beige,공통,37.0,20.0,17.0,3188216.833333333,1314000.0,1874216.8333333333,86168.02252252251,37.0,20.0,17.0,2025-12-13,25 FW 02
